delay	freq	condition	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	polygon.started	polygon_2.started	key_resp.started	polygon.stopped	key_resp.keys	key_resp.rt	sound_1.started	sound_1.stopped	text.started	textbox.started	button.started	textbox.text	button.numClicks	button.timesOn	button.timesOff	participant	session	date	expName	psychopyVersion	frameRate
0.1	1000	exp	3	4	40	6	310.635496	311.6349854	311.6349854	311.6349854	space	0.3496454	312.101487		312.4017514	312.4017514	312.4017514	50	41	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194, 3.832189899869263, 4.7979181001428515, 2.882275199983269, 6.531213799957186, 6.316855799872428, 3.3994853000622243, 2.432480299845338, 2.6852002998348325, 3.965880800038576, 3.2316725999116898, 2.634471899829805, 2.4148711999878287, 3.298140700208023, 2.9324759000446647, 3.049938900163397, 2.5323687000200152, 2.4188702998217195, 2.351750700036064, 5.08165240008384, 2.5327602000907063, 2.9323712999466807, 2.7491264001000673, 2.7485426999628544, 2.4984617999289185, 3.697896199999377, 5.2815539999864995, 3.317779300035909, 2.373412200016901, 1.9319732999429107, 4.101432699942961, 3.047119199996814, 3.8311058001127094, 2.8996447999961674, 3.750735100125894]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482, 3.832196499919519, 4.797923100180924, 2.8822822000365704, 6.531221800018102, 6.316859500017017, 3.3995135999284685, 2.4324890999123454, 2.68520459998399, 3.965885000070557, 3.23168159998022, 2.634477199986577, 2.414878499926999, 3.2981606000103056, 2.932484900113195, 3.0499442000873387, 2.532377399969846, 2.418874599970877, 2.3517553999554366, 5.081658800132573, 2.532767300028354, 2.9323855000548065, 2.74913730006665, 2.748549999902025, 2.4984677999746054, 3.6979012999217957, 5.28156129992567, 3.317807100014761, 2.373416200047359, 1.9319800999946892, 4.101436999859288, 3.047125400044024, 3.831112400162965, 2.899651400046423, 3.7507400999311358]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.7	400	unexp	3	5	41	2	316.1514886	317.1501986	317.1501986	317.1667703	space	1.1095799	318.9837935	319.2833002	319.2833002	319.2833002	319.2833002	100	42	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194, 3.832189899869263, 4.7979181001428515, 2.882275199983269, 6.531213799957186, 6.316855799872428, 3.3994853000622243, 2.432480299845338, 2.6852002998348325, 3.965880800038576, 3.2316725999116898, 2.634471899829805, 2.4148711999878287, 3.298140700208023, 2.9324759000446647, 3.049938900163397, 2.5323687000200152, 2.4188702998217195, 2.351750700036064, 5.08165240008384, 2.5327602000907063, 2.9323712999466807, 2.7491264001000673, 2.7485426999628544, 2.4984617999289185, 3.697896199999377, 5.2815539999864995, 3.317779300035909, 2.373412200016901, 1.9319732999429107, 4.101432699942961, 3.047119199996814, 3.8311058001127094, 2.8996447999961674, 3.750735100125894, 3.198045000201091]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482, 3.832196499919519, 4.797923100180924, 2.8822822000365704, 6.531221800018102, 6.316859500017017, 3.3995135999284685, 2.4324890999123454, 2.68520459998399, 3.965885000070557, 3.23168159998022, 2.634477199986577, 2.414878499926999, 3.2981606000103056, 2.932484900113195, 3.0499442000873387, 2.532377399969846, 2.418874599970877, 2.3517553999554366, 5.081658800132573, 2.532767300028354, 2.9323855000548065, 2.74913730006665, 2.748549999902025, 2.4984677999746054, 3.6979012999217957, 5.28156129992567, 3.317807100014761, 2.373416200047359, 1.9319800999946892, 4.101436999859288, 3.047125400044024, 3.831112400162965, 2.899651400046423, 3.7507400999311358, 3.1980686001479626]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.1	1000	exp	3	6	42	9	322.4826887	323.4822353	323.4822353	323.4822353	space	1.1173017	324.7316304		325.0314644	325.0314644	325.0314644	11	43	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194, 3.832189899869263, 4.7979181001428515, 2.882275199983269, 6.531213799957186, 6.316855799872428, 3.3994853000622243, 2.432480299845338, 2.6852002998348325, 3.965880800038576, 3.2316725999116898, 2.634471899829805, 2.4148711999878287, 3.298140700208023, 2.9324759000446647, 3.049938900163397, 2.5323687000200152, 2.4188702998217195, 2.351750700036064, 5.08165240008384, 2.5327602000907063, 2.9323712999466807, 2.7491264001000673, 2.7485426999628544, 2.4984617999289185, 3.697896199999377, 5.2815539999864995, 3.317779300035909, 2.373412200016901, 1.9319732999429107, 4.101432699942961, 3.047119199996814, 3.8311058001127094, 2.8996447999961674, 3.750735100125894, 3.198045000201091, 3.1908649001270533]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482, 3.832196499919519, 4.797923100180924, 2.8822822000365704, 6.531221800018102, 6.316859500017017, 3.3995135999284685, 2.4324890999123454, 2.68520459998399, 3.965885000070557, 3.23168159998022, 2.634477199986577, 2.414878499926999, 3.2981606000103056, 2.932484900113195, 3.0499442000873387, 2.532377399969846, 2.418874599970877, 2.3517553999554366, 5.081658800132573, 2.532767300028354, 2.9323855000548065, 2.74913730006665, 2.748549999902025, 2.4984677999746054, 3.6979012999217957, 5.28156129992567, 3.317807100014761, 2.373416200047359, 1.9319800999946892, 4.101436999859288, 3.047125400044024, 3.831112400162965, 2.899651400046423, 3.7507400999311358, 3.1980686001479626, 3.190869700163603]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.7	1000	exp	3	7	43	11	328.214674	329.2138734	329.2138734	329.2138734	space	0.4947998	330.4302422		330.7301972	330.7301972	330.7301972	350	44	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194, 3.832189899869263, 4.7979181001428515, 2.882275199983269, 6.531213799957186, 6.316855799872428, 3.3994853000622243, 2.432480299845338, 2.6852002998348325, 3.965880800038576, 3.2316725999116898, 2.634471899829805, 2.4148711999878287, 3.298140700208023, 2.9324759000446647, 3.049938900163397, 2.5323687000200152, 2.4188702998217195, 2.351750700036064, 5.08165240008384, 2.5327602000907063, 2.9323712999466807, 2.7491264001000673, 2.7485426999628544, 2.4984617999289185, 3.697896199999377, 5.2815539999864995, 3.317779300035909, 2.373412200016901, 1.9319732999429107, 4.101432699942961, 3.047119199996814, 3.8311058001127094, 2.8996447999961674, 3.750735100125894, 3.198045000201091, 3.1908649001270533, 4.316866799956188]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482, 3.832196499919519, 4.797923100180924, 2.8822822000365704, 6.531221800018102, 6.316859500017017, 3.3995135999284685, 2.4324890999123454, 2.68520459998399, 3.965885000070557, 3.23168159998022, 2.634477199986577, 2.414878499926999, 3.2981606000103056, 2.932484900113195, 3.0499442000873387, 2.532377399969846, 2.418874599970877, 2.3517553999554366, 5.081658800132573, 2.532767300028354, 2.9323855000548065, 2.74913730006665, 2.748549999902025, 2.4984677999746054, 3.6979012999217957, 5.28156129992567, 3.317807100014761, 2.373416200047359, 1.9319800999946892, 4.101436999859288, 3.047125400044024, 3.831112400162965, 2.899651400046423, 3.7507400999311358, 3.1980686001479626, 3.190869700163603, 4.3168707001022995]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.4	1000	exp	3	8	44	7	335.0469245	336.0455947	336.0455947	336.0622029	space	0.2585633	336.7284434		337.0286197	337.0286197	337.0286197	110	45	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194, 3.832189899869263, 4.7979181001428515, 2.882275199983269, 6.531213799957186, 6.316855799872428, 3.3994853000622243, 2.432480299845338, 2.6852002998348325, 3.965880800038576, 3.2316725999116898, 2.634471899829805, 2.4148711999878287, 3.298140700208023, 2.9324759000446647, 3.049938900163397, 2.5323687000200152, 2.4188702998217195, 2.351750700036064, 5.08165240008384, 2.5327602000907063, 2.9323712999466807, 2.7491264001000673, 2.7485426999628544, 2.4984617999289185, 3.697896199999377, 5.2815539999864995, 3.317779300035909, 2.373412200016901, 1.9319732999429107, 4.101432699942961, 3.047119199996814, 3.8311058001127094, 2.8996447999961674, 3.750735100125894, 3.198045000201091, 3.1908649001270533, 4.316866799956188, 4.4317087000235915]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482, 3.832196499919519, 4.797923100180924, 2.8822822000365704, 6.531221800018102, 6.316859500017017, 3.3995135999284685, 2.4324890999123454, 2.68520459998399, 3.965885000070557, 3.23168159998022, 2.634477199986577, 2.414878499926999, 3.2981606000103056, 2.932484900113195, 3.0499442000873387, 2.532377399969846, 2.418874599970877, 2.3517553999554366, 5.081658800132573, 2.532767300028354, 2.9323855000548065, 2.74913730006665, 2.748549999902025, 2.4984677999746054, 3.6979012999217957, 5.28156129992567, 3.317807100014761, 2.373416200047359, 1.9319800999946892, 4.101436999859288, 3.047125400044024, 3.831112400162965, 2.899651400046423, 3.7507400999311358, 3.1980686001479626, 3.190869700163603, 4.3168707001022995, 4.431724899914116]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.4	1000	exp	3	9	45	4	341.4606996	342.4608241	342.4608241	342.4608241	space	0.2894693	343.1773134	343.4767979	343.4767979	343.4767979	343.4767979	200	46	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194, 3.832189899869263, 4.7979181001428515, 2.882275199983269, 6.531213799957186, 6.316855799872428, 3.3994853000622243, 2.432480299845338, 2.6852002998348325, 3.965880800038576, 3.2316725999116898, 2.634471899829805, 2.4148711999878287, 3.298140700208023, 2.9324759000446647, 3.049938900163397, 2.5323687000200152, 2.4188702998217195, 2.351750700036064, 5.08165240008384, 2.5327602000907063, 2.9323712999466807, 2.7491264001000673, 2.7485426999628544, 2.4984617999289185, 3.697896199999377, 5.2815539999864995, 3.317779300035909, 2.373412200016901, 1.9319732999429107, 4.101432699942961, 3.047119199996814, 3.8311058001127094, 2.8996447999961674, 3.750735100125894, 3.198045000201091, 3.1908649001270533, 4.316866799956188, 4.4317087000235915, 2.533314700005576]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482, 3.832196499919519, 4.797923100180924, 2.8822822000365704, 6.531221800018102, 6.316859500017017, 3.3995135999284685, 2.4324890999123454, 2.68520459998399, 3.965885000070557, 3.23168159998022, 2.634477199986577, 2.414878499926999, 3.2981606000103056, 2.932484900113195, 3.0499442000873387, 2.532377399969846, 2.418874599970877, 2.3517553999554366, 5.081658800132573, 2.532767300028354, 2.9323855000548065, 2.74913730006665, 2.748549999902025, 2.4984677999746054, 3.6979012999217957, 5.28156129992567, 3.317807100014761, 2.373416200047359, 1.9319800999946892, 4.101436999859288, 3.047125400044024, 3.831112400162965, 2.899651400046423, 3.7507400999311358, 3.1980686001479626, 3.190869700163603, 4.3168707001022995, 4.431724899914116, 2.5333199000451714]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.1	400	unexp	3	10	46	0	346.0098737	347.0095089	347.0095089	347.0095089	space	0.3378175	347.4760255		347.7758588	347.7758588	347.7758588	100	47	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194, 3.832189899869263, 4.7979181001428515, 2.882275199983269, 6.531213799957186, 6.316855799872428, 3.3994853000622243, 2.432480299845338, 2.6852002998348325, 3.965880800038576, 3.2316725999116898, 2.634471899829805, 2.4148711999878287, 3.298140700208023, 2.9324759000446647, 3.049938900163397, 2.5323687000200152, 2.4188702998217195, 2.351750700036064, 5.08165240008384, 2.5327602000907063, 2.9323712999466807, 2.7491264001000673, 2.7485426999628544, 2.4984617999289185, 3.697896199999377, 5.2815539999864995, 3.317779300035909, 2.373412200016901, 1.9319732999429107, 4.101432699942961, 3.047119199996814, 3.8311058001127094, 2.8996447999961674, 3.750735100125894, 3.198045000201091, 3.1908649001270533, 4.316866799956188, 4.4317087000235915, 2.533314700005576, 2.948166500078514]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482, 3.832196499919519, 4.797923100180924, 2.8822822000365704, 6.531221800018102, 6.316859500017017, 3.3995135999284685, 2.4324890999123454, 2.68520459998399, 3.965885000070557, 3.23168159998022, 2.634477199986577, 2.414878499926999, 3.2981606000103056, 2.932484900113195, 3.0499442000873387, 2.532377399969846, 2.418874599970877, 2.3517553999554366, 5.081658800132573, 2.532767300028354, 2.9323855000548065, 2.74913730006665, 2.748549999902025, 2.4984677999746054, 3.6979012999217957, 5.28156129992567, 3.317807100014761, 2.373416200047359, 1.9319800999946892, 4.101436999859288, 3.047125400044024, 3.831112400162965, 2.899651400046423, 3.7507400999311358, 3.1980686001479626, 3.190869700163603, 4.3168707001022995, 4.431724899914116, 2.5333199000451714, 2.948173600016162]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.4	1000	exp	3	11	47	10	350.7250179	351.724853	351.724853	351.724853	space	0.5257323	352.6753491		352.974655	352.974655	352.974655	100	48	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194, 3.832189899869263, 4.7979181001428515, 2.882275199983269, 6.531213799957186, 6.316855799872428, 3.3994853000622243, 2.432480299845338, 2.6852002998348325, 3.965880800038576, 3.2316725999116898, 2.634471899829805, 2.4148711999878287, 3.298140700208023, 2.9324759000446647, 3.049938900163397, 2.5323687000200152, 2.4188702998217195, 2.351750700036064, 5.08165240008384, 2.5327602000907063, 2.9323712999466807, 2.7491264001000673, 2.7485426999628544, 2.4984617999289185, 3.697896199999377, 5.2815539999864995, 3.317779300035909, 2.373412200016901, 1.9319732999429107, 4.101432699942961, 3.047119199996814, 3.8311058001127094, 2.8996447999961674, 3.750735100125894, 3.198045000201091, 3.1908649001270533, 4.316866799956188, 4.4317087000235915, 2.533314700005576, 2.948166500078514, 3.3146530999802053]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482, 3.832196499919519, 4.797923100180924, 2.8822822000365704, 6.531221800018102, 6.316859500017017, 3.3995135999284685, 2.4324890999123454, 2.68520459998399, 3.965885000070557, 3.23168159998022, 2.634477199986577, 2.414878499926999, 3.2981606000103056, 2.932484900113195, 3.0499442000873387, 2.532377399969846, 2.418874599970877, 2.3517553999554366, 5.081658800132573, 2.532767300028354, 2.9323855000548065, 2.74913730006665, 2.748549999902025, 2.4984677999746054, 3.6979012999217957, 5.28156129992567, 3.317807100014761, 2.373416200047359, 1.9319800999946892, 4.101436999859288, 3.047125400044024, 3.831112400162965, 2.899651400046423, 3.7507400999311358, 3.1980686001479626, 3.190869700163603, 4.3168707001022995, 4.431724899914116, 2.5333199000451714, 2.948173600016162, 3.3146605000365525]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.4	400	unexp	4	0	48	1	356.2908882	357.2903278	357.2903278	357.2903278	space	0.6459795	358.3564231	358.6569936	358.6569936	358.6569936	358.6569936	150	49	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194, 3.832189899869263, 4.7979181001428515, 2.882275199983269, 6.531213799957186, 6.316855799872428, 3.3994853000622243, 2.432480299845338, 2.6852002998348325, 3.965880800038576, 3.2316725999116898, 2.634471899829805, 2.4148711999878287, 3.298140700208023, 2.9324759000446647, 3.049938900163397, 2.5323687000200152, 2.4188702998217195, 2.351750700036064, 5.08165240008384, 2.5327602000907063, 2.9323712999466807, 2.7491264001000673, 2.7485426999628544, 2.4984617999289185, 3.697896199999377, 5.2815539999864995, 3.317779300035909, 2.373412200016901, 1.9319732999429107, 4.101432699942961, 3.047119199996814, 3.8311058001127094, 2.8996447999961674, 3.750735100125894, 3.198045000201091, 3.1908649001270533, 4.316866799956188, 4.4317087000235915, 2.533314700005576, 2.948166500078514, 3.3146530999802053, 3.60208350000903]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482, 3.832196499919519, 4.797923100180924, 2.8822822000365704, 6.531221800018102, 6.316859500017017, 3.3995135999284685, 2.4324890999123454, 2.68520459998399, 3.965885000070557, 3.23168159998022, 2.634477199986577, 2.414878499926999, 3.2981606000103056, 2.932484900113195, 3.0499442000873387, 2.532377399969846, 2.418874599970877, 2.3517553999554366, 5.081658800132573, 2.532767300028354, 2.9323855000548065, 2.74913730006665, 2.748549999902025, 2.4984677999746054, 3.6979012999217957, 5.28156129992567, 3.317807100014761, 2.373416200047359, 1.9319800999946892, 4.101436999859288, 3.047125400044024, 3.831112400162965, 2.899651400046423, 3.7507400999311358, 3.1980686001479626, 3.190869700163603, 4.3168707001022995, 4.431724899914116, 2.5333199000451714, 2.948173600016162, 3.3146605000365525, 3.602087200153619]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
0.1	1000	exp	4	1	49	9	362.2560121	363.2553535	363.2553535	363.2553535	space	0.2668538	363.6386159		363.9386673	363.9386673	363.9386673	100	50	"[6.603961699875072, 7.181363600073382, 4.178450099891052, 5.105714899953455, 4.187907999847084, 2.669467199826613, 4.382238200167194, 3.832189899869263, 4.7979181001428515, 2.882275199983269, 6.531213799957186, 6.316855799872428, 3.3994853000622243, 2.432480299845338, 2.6852002998348325, 3.965880800038576, 3.2316725999116898, 2.634471899829805, 2.4148711999878287, 3.298140700208023, 2.9324759000446647, 3.049938900163397, 2.5323687000200152, 2.4188702998217195, 2.351750700036064, 5.08165240008384, 2.5327602000907063, 2.9323712999466807, 2.7491264001000673, 2.7485426999628544, 2.4984617999289185, 3.697896199999377, 5.2815539999864995, 3.317779300035909, 2.373412200016901, 1.9319732999429107, 4.101432699942961, 3.047119199996814, 3.8311058001127094, 2.8996447999961674, 3.750735100125894, 3.198045000201091, 3.1908649001270533, 4.316866799956188, 4.4317087000235915, 2.533314700005576, 2.948166500078514, 3.3146530999802053, 3.60208350000903, 3.365073700202629]"	"[6.603966000024229, 7.181370500009507, 4.178457000060007, 5.105719699990004, 4.187914100009948, 2.669473099987954, 4.382243599975482, 3.832196499919519, 4.797923100180924, 2.8822822000365704, 6.531221800018102, 6.316859500017017, 3.3995135999284685, 2.4324890999123454, 2.68520459998399, 3.965885000070557, 3.23168159998022, 2.634477199986577, 2.414878499926999, 3.2981606000103056, 2.932484900113195, 3.0499442000873387, 2.532377399969846, 2.418874599970877, 2.3517553999554366, 5.081658800132573, 2.532767300028354, 2.9323855000548065, 2.74913730006665, 2.748549999902025, 2.4984677999746054, 3.6979012999217957, 5.28156129992567, 3.317807100014761, 2.373416200047359, 1.9319800999946892, 4.101436999859288, 3.047125400044024, 3.831112400162965, 2.899651400046423, 3.7507400999311358, 3.1980686001479626, 3.190869700163603, 4.3168707001022995, 4.431724899914116, 2.5333199000451714, 2.948173600016162, 3.3146605000365525, 3.602087200153619, 3.3650813000276685]"	final100	1	2022-11-10_23h08.43.428	Intentional Binding	2022.2.4	59.93770077
